app_name,val_auc,val_pr_auc,test_auc,test_pr_auc,max_depth,eta,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha
54m_9neg_1pos_tuning_trial_006,0.7498247159523147,0.23254286752843265,0.731398120621605,0.21836137048105325,12,0.1,0.8,0.6,1,5.0,0.0
54m_9neg_1pos_tuning_trial_005,0.7466426084330247,0.22698950809837778,0.7300215791641975,0.21231988405924232,8,0.2,1.0,0.8,1,1.0,0.0
54m_9neg_1pos_tuning_trial_009,0.7396467466141975,0.22500594778499913,0.7286096830595679,0.2168519414863646,12,0.01,1.0,0.8,5,5.0,0.0
54m_9neg_1pos_tuning_trial_003,0.7382076380625,0.21854168013523528,0.7273977105796294,0.2130299523537105,12,0.01,0.6,0.6,1,1.0,0.0
54m_9neg_1pos_tuning_trial_008,0.7338396687188272,0.21897449102520142,0.7254017463918211,0.21334554997475214,10,0.01,1.0,0.8,5,0.1,0.0
54m_9neg_1pos_tuning_trial_004,0.7271277142901236,0.21088814118673205,0.7235163055064815,0.20866531801824656,6,0.05,1.0,1.0,5,10.0,0.0
54m_9neg_1pos_tuning_trial_010,0.7235190582416666,0.20846972157893134,0.7204843579137346,0.2100947277370922,8,0.01,0.6,1.0,1,5.0,0.0
54m_9neg_1pos_tuning_trial_002,0.7233317627432098,0.20858857510557,0.7211927058063272,0.2110595333318116,8,0.01,1.0,1.0,5,0.1,0.0
54m_9neg_1pos_tuning_trial_001,0.7152535329013888,0.20041085947568224,0.7059035404444446,0.19676704873092074,6,0.01,1.0,0.8,1,1.0,0.0
54m_9neg_1pos_tuning_trial_007,0.7146413503651236,0.1956771280979216,0.7070984652060187,0.1933357733096403,6,0.01,0.8,0.6,3,5.0,0.0
